"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bhutan","Anise, badian, fennel, coriander",0.00195,754388,7000,"Import_kg",711,"Anise; badian; fennel; coriander",161,165.4,7524.75,6819.3,22237.59,4.97,0,0,386.99,15.27,2.21,705.92,11362.2,0.45,35.21,218.93,0.16,0.14,1.46,0.24,260.69,149.89,1.3,400.76,5180.56,1250.62,0,0,4.74,3.2,0
"2","Bhutan","Apples",0.121111111111111,754388,10000,"Import_kg",515,"Apples",119,0.61,3.4,3.22,143.22,0.16,0,0,0,0,0,1.13,15.51,0,0,0.12,0,0,0,0,1.78,0,0,0.43,0,0.72,0,0,0.92,0,0.11
"3","Bhutan","Beans, dry",0.1145,754388,32000,"Import_kg",176,"Beans",30,12.21,788.8,50.86,2148.74,0,0,0,5.18,0.27,0.11,43.32,459.48,0,0.58,14.33,0,0,0,0,4.09,6.41,0,11.45,5.09,17.62,0,0,0.43,0.14,0
"4","Bhutan","Cabbages and other brassicas",0.08324,754388,1000,"Import_kg",358,"Cabbages and other brassicas",78,0,3.62,0.49,6.98,0,0,0,0.2,0,0,0.45,3.51,0,0,0.11,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0
"5","Bhutan","Chick peas",0.04575,754388,134000,"Import_kg",191,"Chick peas",33,136.76,7549.2,1954.42,22641.67,0.82,0,0.14,52.94,2.69,1.34,314.1,2963.69,0.36,7.79,120.51,0.15,0,0.68,0.21,56.94,38.44,4.37,239.36,529.39,1032.96,0,0,4.08,1.15,0
"6","Bhutan","Chillies and peppers, dry",4e-04,754388,184000,"Import_kg",689,"Pimento",156,14662.52,624879.28,544276.95,2502314.66,4599.67,41.4,3.34,12650.46,445.13,161.13,111099.33,1354899.6,40.23,27668.12,11336.72,17.02,26.56,336.41,105.11,3140.29,9359.9,132.79,161587.94,103761.81,375940.94,0,0,1709.07,364.88,0
"7","Bhutan","Chillies and peppers, green",0.0664142191142191,754388,3000,"Import_kg",401,"Chillies and peppers; green",88,0.23,10.66,3.98,41.36,0.69,0,0,0.17,0,0,1.69,19.25,0,0,0.61,0,0,0,0,0,0.22,0,0.25,0.11,1.09,0,0,0.53,0,0
"8","Bhutan","Coffee, green",0.00312,754388,4000,"Import_kg",656,"Coffee",152,31.49,1921.14,2535.22,6152.04,0.17,0,0,17.51,0.59,0,378.27,0,0,6.04,48.3,0,0,1.88,0,7.32,31.75,0,5.63,42.23,2.82,0,0,0.89,0.99,0
"9","Bhutan","Dates",0.0393863636363636,754388,1000,"Import_kg",577,"Dates",121,0.67,5.91,0.99,171.51,0,0,0,0.14,0,0,2.03,16.63,0,0,0.27,0,0,0,0,0,0.14,0,0,0,0,0,0,0.13,0,0
"10","Bhutan","Fruit, fresh nes",0.107099201828105,754388,1000,"Import_kg",619,"Fresh fruit; nes",147,0.11,1.89,0.94,23.85,0,0,0,0,0,0,0.34,4.3,0,0,0,0,0,0,0,0,0,0,0.15,0.1,0.14,0,0,0,0,0
"11","Bhutan","Lentils",0.0454634146341463,754388,2141000,"Import_kg",201,"Lentils",36,2049.52,144233.39,6527.33,350322.34,10.7,0,1.69,430.29,58.39,18.08,5206.26,71945.03,7.27,71.61,2036.98,2.44,1.47,13.64,3.81,1234.15,478.59,7.47,886.44,1101.8,2734.22,0,0,71.75,16.88,0
"12","Bhutan","Lettuce and chicory",0.0865961538461538,754388,1379000,"Import_kg",372,"Lettuce and chicory",81,36.48,3026,523.89,5890.99,23.43,0.38,0.16,112.14,2.46,0.86,541.98,3739.34,0.15,53.5,142.43,0.13,0.16,0.87,0.18,68.08,28.8,0.49,77.05,15.66,177.14,0,0,197.52,2.21,35.89
"13","Bhutan","Maize",0.0869363057324841,754388,10142000,"Import_kg",56,"Maize",4,5464.28,133655.33,52931.66,1116083.12,10.6,0.34,0.36,322.66,50.32,27.75,4555.84,80087.41,2.79,144.52,3384.94,4.12,1.83,39.89,5.48,0,1695.92,3.75,9150.94,19914.03,37357.66,0,0,192.7,19.41,0
"14","Bhutan","Mangoes, mangosteens, guavas",0.09628125,754388,118000,"Import_kg",571,"Mangos; mangosteens; guavas",140,9.97,122.05,40.15,2241.31,14.06,0,0,2.87,0,0,29.2,433.23,0,1.72,3.11,0,0,0.19,0,1.23,7.39,0,24.82,12.25,27.36,0,0,13.48,0,4.31
"15","Bhutan","Pepper (piper spp.)",0.002,754388,1000,"Import_kg",687,"Pepper",155,19.04,646.48,271.45,3700.1,0.52,0,0,23.81,0.71,0,46.28,1293.76,0,0.87,10.61,0,0,0,0,0.75,10.18,0.47,66.88,50.64,53.49,0,0,1.28,0.22,0
"16","Bhutan","Potatoes",0.133867924528302,754388,4996000,"Import_kg",116,"Potatoes",18,396.72,10177.72,672.38,88640.37,79.12,0,0,45.38,5.21,2.06,1850.3,6667.99,0.44,52.02,239.48,0.39,0.32,6.81,1.22,173.15,122.03,0.55,145.44,6.93,202.83,0,0,377.8,5.22,110.07
"17","Bhutan","Rice, paddy",0.0488821264103023,754388,76000,"Import_kg",27,"Rice (Milled Equivalent)",2,72.98,1532.16,219.9,16016.27,0,0,0,7.12,0.45,0.26,25.82,344.22,0,1.93,32.2,0,0,0.69,0,0,12.02,0.21,25.86,37.2,34.62,0,0,2.42,0.18,0
"18","Bhutan","Rice, paddy (rice milled equivalent)",0.0488821264103023,754388,36553000,"Import_kg",30,"Rice (Milled Equivalent)",2,35101.26,736910.72,105762.56,7703194.02,3.43,0.1,1.88,3424.21,217.96,122.96,12418.67,165557.31,14.85,928.2,15484.95,17.6,5.39,331.45,22.06,0,5782.22,99.49,12440.04,17891.86,16652.81,0,0,1164.45,85.09,0
"19","Bhutan","Spices nes",0.00767204314204314,754388,14000,"Import_kg",723,"Spices; nes",163,57.03,2399.99,1694.32,9363.06,9.91,0,0,178.48,6.06,0.77,268.96,4059.07,0.18,14.18,47.51,0,0,1.17,0.21,35.24,62.51,1.42,412.9,744.93,468.16,0,0,8.95,1.35,2.44
"20","Bhutan","Strawberries",0.127327819548872,754388,8000,"Import_kg",544,"Strawberries",132,0.29,7.27,3.11,62.04,0.5,0,0,0.19,0,0,1.14,12.7,0,0,0.2,0,0,0,0,0,0.11,0,0.15,0.39,1.1,0,0,0.75,0,0
"21","Bhutan","Tea",0.0019,754388,286000,"Import_kg",667,"Tea",154,124.33,74825.38,8979.05,37300.45,448.95,0,0.62,3342.2,185.81,2.49,4600.39,0,1.24,373,1967.72,1.1,4.36,19.95,0,49.73,373,27.23,248.67,124.33,497.34,0,0,319.25,88.29,0
"22","Bhutan","Tomatoes",0.0714285714285714,754388,2590000,"Import_kg",388,"Tomatoes",76,95.97,4581.1,1211.08,17489.91,110.79,0.31,0.11,72.09,4.87,0.92,942.4,5507.5,0.32,53.58,193.76,0.23,0.2,3.88,0.4,32.2,62.49,0.27,139.39,146.6,391.73,0,0,451.76,2.57,31.24
"23","Bhutan","Wheat",0.0442045454545455,754388,4881000,"Import_kg",15,"Wheat",1,4929.9,167463.66,26895.18,1015086.86,4.88,0,0.59,622.65,57.58,36.09,5007.42,74062.37,6.88,108.61,4484.24,4.87,3,67.45,8.26,456.67,2001.59,39.36,6293.84,4142.22,17081.18,0,0,163.25,27.68,0
