"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bulgaria","Almonds, with shell",0.0296505238073522,7051608,720000,"Production_kg",221,"Almonds; with shell",45,205.03,7303.86,17616.14,6217.98,3.58,0,0,83.58,1.08,1.25,271.13,2496.61,0.35,1.66,166.22,0,0.26,1.34,0,17.94,110.71,0.72,1360.56,11630.91,4016.78,0,0,1.71,1.01,22.38
"2","Bulgaria","Apples",0.121111111111111,7051608,43620000,"Production_kg",515,"Apples",119,286.71,1585.47,1504.6,66832.43,74.16,0,0,39.58,3.58,0.33,525.35,7235.71,0.15,29.75,55.45,0.23,0.14,0.96,0.21,828.45,23.84,0.18,199.19,43.41,334.55,0,0,431.61,1.31,51.08
"3","Bulgaria","Apricots",0.03995,7051608,20240000,"Production_kg",526,"Apricots",125,354.92,7184.65,1837.22,81790.05,48.02,0.92,0,122.14,5.71,1.58,2095.52,9819.02,0.56,9.52,171.23,0.17,0.8,5.6,0.39,20.12,71.85,0.55,204.76,1221.39,563.99,0,0,615.06,5.68,61.07
"4","Bulgaria","Artichokes",0.1,7051608,180000,"Production_kg",366,"Artichokes",79,1.42,66.8,4.47,296.17,0.21,0,0,2.13,0,0,8.74,62.96,0,2.71,2.5,0,0,0,0,0.88,1.53,0,1.1,0.19,1.58,0,0,2.2,0,1.53
"5","Bulgaria","Barley",0.04775,7051608,563150000,"Production_kg",44,"Barley",3,57557.42,1529405.03,232739.66,12469579.48,111.5,0,3.51,9324.11,1300.93,422.8,43066.52,1385376.09,106.93,3579.12,48915.67,43.99,21.63,894.31,48.33,6322,12989.64,237.77,60711.25,37129.19,139485.35,0,0,1963.88,306.4,0
"6","Bulgaria","Beans, green",0.0843965476190476,7051608,1170000,"Production_kg",414,"Beans; green",92,9.38,896.43,107.03,1471.05,4.51,0,0,12.38,0.43,0,57.22,440.51,0,3.26,20.96,0,0.2,0.17,0,1.59,5.9,0,9.57,3.6,18.48,0,0,16.34,0.22,2.44
"7","Bulgaria","Berries nes",0.109406559397488,7051608,1680000,"Production_kg",558,"Berries; nes",138,12.33,202.67,98.15,2793.21,10.08,0,0,7.98,0.33,0,36,627.15,0,1.32,4.9,0,0,0.11,0,2.13,3.54,0.21,3.92,9.15,47.53,0,0,18.7,0.11,0.17
"8","Bulgaria","Broad beans, horse beans, dry",0.052,7051608,1860000,"Production_kg",181,"Broad beans; horse beans; dry",32,169.67,12172.86,805.68,27897.86,1.38,0,0.21,50.27,4.1,1.77,605.25,9823.73,0.42,9.25,193.5,0.2,0.15,1.34,0.19,48.59,97.14,0.82,127.83,152.94,306.12,0,0,5.29,1.52,13.7
"9","Bulgaria","Cabbages and other brassicas",0.08324,7051608,46560000,"Production_kg",358,"Cabbages and other brassicas",78,213.1,18015.29,2417.64,34763.62,486.44,1.83,0.5,973.43,13.73,2.71,2265.11,17505.51,1.23,311.79,559.24,0.48,0.82,6.15,1.43,195.57,193.68,2.01,272.13,142.17,696.81,0,0,720.59,8.77,218.93
"10","Bulgaria","Carrots and turnips",0.0830718954248366,7051608,20410000,"Production_kg",426,"Carrots and turnips",96,105.34,4562.34,815.83,20441.25,95.38,2.12,0,231.12,5.4,0.9,1014.01,7075.38,0.2,164.47,415.07,0.18,0.32,2.7,0.64,364.45,42.39,0.5,112.66,51.1,263.64,0,0,310.96,4.37,80.14
"11","Bulgaria","Cauliflowers and broccoli",0.103835520801038,7051608,3790000,"Production_kg",393,"Cauliflowers and broccoli",84,14.84,1603.37,167.36,2106.17,41.86,0.28,0,22.69,0.56,0.22,153.36,983.46,0,15.49,56.22,0,0,0.37,0,32.78,9.32,0,32.22,9.71,16.69,0,0,44.83,0.56,24.85
"12","Bulgaria","Cereals nes",0.0486257263475995,7051608,6410000,"Production_kg",108,"Cereals; nes",13,651.02,24347.8,8604.15,137385.03,2.01,0,0,271.42,41.45,7.11,798.24,5901.98,1.51,14.58,711.54,0.67,0.5,2.73,0.9,24.49,343.97,17.27,839.36,1101.08,2002.13,0,0,20.4,7.33,0
"13","Bulgaria","Cherries",0.1289,7051608,54960000,"Production_kg",531,"Cherries",127,275.64,6580.63,1048.06,62964.45,75.7,0.18,0,166.88,3.07,0.42,1502.56,6348.85,0.36,9.07,141.49,0.13,0.17,4.18,0.3,36.88,66.51,0.42,229.77,284.19,314.42,0,0,498.08,4.11,48.37
"14","Bulgaria","Cherries, sour",0.028,7051608,5150000,"Production_kg",530,"Sour cherries",126,123.46,2869.15,695.55,29021.92,26.08,0.13,0,35.65,1.06,0.43,451.24,3129.99,0.27,14.35,43.04,0,0,1.04,0.11,15.91,23.47,0.29,177.37,213.88,234.75,0,0,226.95,1.04,28.69
"15","Bulgaria","Chillies and peppers, green",0.0664142191142191,7051608,63980000,"Production_kg",401,"Chillies and peppers; green",88,535.4,24323.89,9078.75,94371.06,1575.43,1.7,0.4,377.64,22.2,4.26,3851.5,43916.83,2.12,96.91,1391.8,1.73,1.64,16.22,4.85,110.32,492.86,3.23,569.68,243.75,2492.84,0,0,1205.87,12.07,226.17
"16","Bulgaria","Cucumbers and gherkins",0.0675,7051608,72970000,"Production_kg",397,"Cucumbers and gherkins",86,214.01,9892.59,1812.59,38790.46,151.53,0,0.14,245.29,6.82,2.94,2185.43,10001.24,0.83,101.76,556.05,0.4,0.49,2.92,0.61,91.98,191.63,1.21,513.57,38.33,398.59,0,0,1467.99,6.37,237.62
"17","Bulgaria","Eggplants (aubergines)",0.082,7051608,11180000,"Production_kg",399,"Eggplants (aubergines)",87,52.74,2231.74,1399.2,10229.29,12.75,0,0,33.09,1.18,0.37,388.28,4007.83,0.19,10.37,84.67,0,0.18,2.49,0.17,56.94,24.81,0.45,52.2,25.14,112.14,0,0,177.43,2.31,39.64
