"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bahamas","Alfalfa meal and pellets",0.0651708222811671,385637,10000,"Import_kg",862,"Mixed grain",12,13.86,454.84,98.68,2932.32,0,0,0,0.98,0.13,0.1,13.71,420.44,0,0.22,12.58,0,0,0.17,0,1.3,4.72,0.1,17.48,21.19,41.49,0,0,0.43,0,0
"2","Bahamas","Almonds shelled",0.0296505238073522,385637,1000,"Import_kg",231,"Almonds; with shell",45,5.21,185.49,447.39,157.92,0,0,0,2.12,0,0,6.89,63.41,0,0,4.22,0,0,0,0,0.46,2.81,0,34.55,295.39,102.01,0,0,0,0,0.57
"3","Bahamas","Almonds, with shell",0.0296505238073522,385637,1000,"Import_kg",221,"Almonds; with shell",45,5.21,185.49,447.39,157.92,0,0,0,2.12,0,0,6.89,63.41,0,0,4.22,0,0,0,0,0.46,2.81,0,34.55,295.39,102.01,0,0,0,0,0.57
"4","Bahamas","Apples",0.121111111111111,385637,975000,"Import_kg",515,"Apples",119,117.19,648.02,614.96,27315.91,30.31,0,0,16.18,1.46,0.13,214.72,2957.4,0,12.16,22.67,0,0,0.39,0,338.6,9.74,0,81.42,17.74,136.74,0,0,176.41,0.54,20.88
"5","Bahamas","Apricots, dry",0.03995,385637,8000,"Import_kg",527,"Apricots",125,2.57,51.93,13.28,591.14,0.35,0,0,0.88,0,0,15.15,70.97,0,0,1.24,0,0,0,0,0.15,0.52,0,1.48,8.83,4.08,0,0,4.45,0,0.44
"6","Bahamas","Asparagus",0.0845294117647059,385637,124000,"Import_kg",367,"Asparagus",80,7.7,820.57,77.17,1158.3,8.25,0,0,7.99,0.42,0.2,82.45,925.63,0,1.76,31.89,0,0,0.34,0,6.09,5.33,0,17.12,1.9,26.63,0,0,35.31,0.25,17.88
"7","Bahamas","Avocados",0.048,385637,224000,"Import_kg",572,"Avocados",141,176.29,1946.41,17047.62,5251.92,15.48,0,0,24.89,1.16,0.58,617.2,5304.36,0.26,7.98,205.42,0,0.17,1.68,0.37,17.18,36.61,0.17,2894,9611.07,2013.64,0,0,93.05,1.42,45.98
"8","Bahamas","Bananas",0.04075,385637,2771000,"Import_kg",486,"Bananas",117,1776.32,21437.52,4099.71,411633.59,187.73,0.65,0.33,173.72,14.09,2.91,5991.75,27571.85,1.63,111.92,447.24,0.94,0.89,15.01,6.15,172.8,499.61,4.76,1957.28,458.46,996.27,0,0,1284.46,14.62,625.98
"9","Bahamas","Beans, dry",0.1145,385637,72000,"Import_kg",176,"Beans",30,53.73,3471.9,223.87,9457.65,0.3,0,0,22.81,1.19,0.48,190.66,2022.39,0.14,2.55,63.06,0,0,0.33,0,18,28.19,0.21,50.4,22.38,77.54,0,0,1.91,0.62,0
"10","Bahamas","Blueberries",0.134028846153846,385637,30000,"Import_kg",552,"Blueberries",136,3.31,42.95,19.15,841.03,0.56,0,0,0.35,0,0,4.47,139.3,0,0,0.7,0,0,0,0,0.35,0.35,0,1.63,2.73,8.47,0,0,4.89,0,0.29
"11","Bahamas","Cabbages and other brassicas",0.08324,385637,533000,"Import_kg",358,"Cabbages and other brassicas",78,44.61,3771.07,506.08,7276.94,101.82,0.38,0.1,203.76,2.87,0.57,474.15,3664.36,0.26,65.27,117.06,0.1,0.17,1.29,0.3,40.94,40.54,0.42,56.96,29.76,145.86,0,0,150.84,1.84,45.83
"12","Bahamas","Carrots and turnips",0.0830718954248366,385637,260000,"Import_kg",426,"Carrots and turnips",96,24.54,1062.74,190.04,4761.54,22.22,0.49,0,53.84,1.26,0.21,236.2,1648.12,0,38.31,96.68,0,0,0.63,0.15,84.89,9.87,0.12,26.24,11.9,61.41,0,0,72.43,1.02,18.67
"13","Bahamas","Cassava dried",0.108277777777778,385637,5000,"Import_kg",128,"Cassava",17,1.67,21.88,5.68,371.73,0.39,0,0,0.47,0,0,4.5,17.72,0,0.11,0.47,0,0,0,0,0.28,0.25,0,1.04,1.05,0.53,0,0,0.75,0,0.25
"14","Bahamas","Cauliflowers and broccoli",0.103835520801038,385637,319000,"Import_kg",393,"Cauliflowers and broccoli",84,22.84,2467.71,257.58,3241.56,64.42,0.43,0,34.92,0.87,0.33,236.04,1513.63,0,23.85,86.53,0,0,0.57,0.14,50.45,14.34,0.15,49.59,14.94,25.69,0,0,69,0.86,38.24
"15","Bahamas","Cereal preparations nes",0.0486257263475995,385637,75000,"Import_kg",113,"Cereals; nes",13,139.29,5209.22,1840.86,29393.55,0.43,0,0,58.07,8.87,1.52,170.78,1262.73,0.32,3.12,152.23,0.14,0.11,0.58,0.19,5.24,73.59,3.7,179.58,235.58,428.36,0,0,4.37,1.57,0
"16","Bahamas","Cherries",0.1289,385637,19000,"Import_kg",531,"Cherries",127,1.74,41.6,6.63,398.03,0.48,0,0,1.05,0,0,9.5,40.13,0,0,0.89,0,0,0,0,0.23,0.42,0,1.45,1.8,1.99,0,0,3.15,0,0.31
"17","Bahamas","Chick peas",0.04575,385637,5000,"Import_kg",191,"Chick peas",33,9.98,551.04,142.66,1652.68,0,0,0,3.86,0.2,0,22.93,216.33,0,0.57,8.8,0,0,0,0,4.16,2.81,0.32,17.47,38.64,75.4,0,0,0.3,0,0
"18","Bahamas","Chillies and peppers, dry",4e-04,385637,6000,"Import_kg",689,"Pimento",156,935.32,39860.76,34719.18,159621.51,293.41,2.64,0.21,806.97,28.39,10.28,7086.98,86428.43,2.57,1764.94,723.16,1.09,1.69,21.46,6.7,200.32,597.06,8.47,10307.62,6618.92,23981.1,0,0,109.02,23.28,0
"19","Bahamas","Chillies and peppers, green",0.0664142191142191,385637,585000,"Import_kg",401,"Chillies and peppers; green",88,89.52,4066.81,1517.91,15778.29,263.4,0.28,0,63.14,3.71,0.71,643.95,7342.64,0.35,16.2,232.7,0.29,0.27,2.71,0.81,18.44,82.4,0.54,95.25,40.75,416.79,0,0,201.62,2.02,37.81
"20","Bahamas","Chocolate products nes",0.0115,385637,744000,"Import_kg",666,"Cocoa Beans",153,3825,270702.51,693733.9,971348.25,0,0,0.54,1799.43,85.12,114.25,16835.03,620723.41,63.55,138.4,9839.05,2.84,3.32,30.97,1.98,201.32,8371.38,64.37,386148.68,266617.48,14427.63,0,0,65.09,66.74,0
"21","Bahamas","Cider etc",0.0683571428571429,385637,286000,"Import_kg",517,"Fruit juice; nes",149,54.04,269.48,147.07,13197.35,81.38,0,0,10.99,0.29,0,117.23,308.79,0,8.42,8.91,0,0,0.47,0,2.97,8.08,0,27.21,37.07,67.36,0,0,95.45,0.3,0
"22","Bahamas","Cinnamon (cannella)",0.00115555555555556,385637,4000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bahamas","Cocoa, beans",0.0115,385637,33000,"Import_kg",661,"Cocoa Beans",153,169.66,12006.97,30770.46,43084,0,0,0,79.81,3.78,5.07,746.71,27532.09,2.82,6.14,436.41,0.13,0.15,1.37,0,8.93,371.31,2.86,17127.56,11825.78,639.93,0,0,2.89,2.96,0
"24","Bahamas","Cocoa, butter",0.0115,385637,6000,"Import_kg",664,"Cocoa Beans",153,30.85,2183.08,5594.63,7833.45,0,0,0,14.51,0.69,0.92,135.77,5005.83,0.51,1.12,79.35,0,0,0.25,0,1.62,67.51,0.52,3114.1,2150.14,116.35,0,0,0.52,0.54,0
"25","Bahamas","Cocoa, powder & cake",0.0115,385637,1000,"Import_kg",665,"Cocoa Beans",153,5.14,363.85,932.44,1305.58,0,0,0,2.42,0.11,0.15,22.63,834.31,0,0.19,13.22,0,0,0,0,0.27,11.25,0,519.02,358.36,19.39,0,0,0,0,0
"26","Bahamas","Coconuts",0.04,385637,9000,"Import_kg",249,"Coconuts - Incl Copra",58,18.52,195.75,1642.08,734.16,0.14,0,0,1.09,0.17,0,19.07,376.65,0,1.24,6.14,0,0,0,0,0.71,1.69,0.22,1741.54,155.34,39.85,0,0,3.09,0,2.42
