"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Comoros","Almonds, with shell",0.0296505238073522,832322,1000,"Import_kg",221,"Almonds; with shell",45,2.41,85.94,207.29,73.17,0,0,0,0.98,0,0,3.19,29.38,0,0,1.96,0,0,0,0,0.21,1.3,0,16.01,136.86,47.27,0,0,0,0,0.26
"2","Comoros","Anise, badian, fennel, coriander",0.00195,832322,17000,"Import_kg",711,"Anise; badian; fennel; coriander",161,364.07,16563.28,15010.47,48948.79,10.95,0,0,851.84,33.62,4.86,1553.85,25010.18,0.98,77.51,481.91,0.34,0.32,3.22,0.52,573.83,329.94,2.86,882.14,11403.32,2752.84,0,0,10.43,7.05,0
"3","Comoros","Apples",0.121111111111111,832322,146000,"Import_kg",515,"Apples",119,8.13,44.96,42.67,1895.18,2.1,0,0,1.12,0.1,0,14.9,205.18,0,0.84,1.57,0,0,0,0,23.49,0.68,0,5.65,1.23,9.49,0,0,12.24,0,1.45
"4","Comoros","Bananas",0.04075,832322,13000,"Import_kg",486,"Bananas",117,3.86,46.6,8.91,894.76,0.41,0,0,0.38,0,0,13.02,59.93,0,0.24,0.97,0,0,0,0,0.38,1.09,0,4.25,1,2.17,0,0,2.79,0,1.36
"5","Comoros","Beans, dry",0.1145,832322,156000,"Import_kg",176,"Beans",30,53.94,3485.36,224.74,9494.29,0.3,0,0,22.9,1.19,0.48,191.4,2030.22,0.14,2.56,63.31,0,0,0.33,0,18.07,28.3,0.21,50.6,22.47,77.84,0,0,1.92,0.63,0
"6","Comoros","Beans, green",0.0843965476190476,832322,5000,"Import_kg",414,"Beans; green",92,0.34,32.46,3.88,53.26,0.16,0,0,0.45,0,0,2.07,15.95,0,0.12,0.76,0,0,0,0,0,0.21,0,0.35,0.13,0.67,0,0,0.59,0,0
"7","Comoros","Cabbages and other brassicas",0.08324,832322,329000,"Import_kg",358,"Cabbages and other brassicas",78,12.76,1078.5,144.73,2081.16,29.12,0.11,0,58.28,0.82,0.16,135.6,1047.98,0,18.67,33.48,0,0,0.37,0,11.71,11.59,0.12,16.29,8.51,41.72,0,0,43.14,0.53,13.11
"8","Comoros","Cassava dried",0.108277777777778,832322,1000,"Import_kg",128,"Cassava",17,0.15,2.03,0.53,34.45,0,0,0,0,0,0,0.42,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Comoros","Cereal preparations nes",0.0486257263475995,832322,18000,"Import_kg",113,"Cereals; nes",13,15.49,579.26,204.7,3268.52,0,0,0,6.46,0.99,0.17,18.99,140.41,0,0.35,16.93,0,0,0,0,0.58,8.18,0.41,19.97,26.2,47.63,0,0,0.49,0.17,0
"10","Comoros","Chestnut",0.059,832322,1000,"Import_kg",220,"Chestnuts",44,0.53,10.38,5.94,106.03,0,0,0,0,0,0,1.33,25.05,0,0,0.26,0,0,0,0,0,0.15,0,1.7,3.13,3.58,0,0,0,0,0
"11","Comoros","Chillies and peppers, dry",4e-04,832322,10000,"Import_kg",689,"Pimento",156,722.26,30780.93,26810.54,123261.51,226.57,2.04,0.16,623.15,21.93,7.94,5472.64,66741,1.98,1362.9,558.44,0.84,1.31,16.57,5.18,154.69,461.06,6.54,7959.66,5111.2,18518.47,0,0,84.19,17.97,0
"12","Comoros","Chillies and peppers, green",0.0664142191142191,832322,1000,"Import_kg",401,"Chillies and peppers; green",88,0,3.22,1.2,12.5,0.21,0,0,0,0,0,0.51,5.82,0,0,0.18,0,0,0,0,0,0,0,0,0,0.33,0,0,0.16,0,0
"13","Comoros","Chocolate products nes",0.0115,832322,317000,"Import_kg",666,"Cocoa Beans",153,755.1,53439.94,136951.43,191755.85,0,0,0.11,355.23,16.8,22.55,3323.44,122538.28,12.55,27.32,1942.35,0.56,0.65,6.11,0.39,39.74,1652.61,12.71,76230.4,52633.5,2848.19,0,0,12.85,13.17,0
"14","Comoros","Cider etc",0.0683571428571429,832322,2000,"Import_kg",517,"Fruit juice; nes",149,0.18,0.87,0.48,42.76,0.26,0,0,0,0,0,0.38,1,0,0,0,0,0,0,0,0,0,0,0,0.12,0.22,0,0,0.31,0,0
"15","Comoros","Cocoa, beans",0.0115,832322,1000,"Import_kg",661,"Cocoa Beans",153,2.38,168.58,432.02,604.91,0,0,0,1.12,0,0,10.48,386.56,0,0,6.13,0,0,0,0,0.13,5.21,0,240.47,166.04,8.98,0,0,0,0,0
"16","Comoros","Cocoa, powder & cake",0.0115,832322,6000,"Import_kg",665,"Cocoa Beans",153,14.29,1011.48,2592.14,3629.45,0,0,0,6.72,0.32,0.43,62.9,2319.34,0.24,0.52,36.76,0,0,0.12,0,0.75,31.28,0.24,1442.85,996.22,53.91,0,0,0.24,0.25,0
"17","Comoros","Coconuts",0.04,832322,2000,"Import_kg",249,"Coconuts - Incl Copra",58,1.91,20.15,169.07,75.59,0,0,0,0.11,0,0,1.96,38.78,0,0.13,0.63,0,0,0,0,0,0.17,0,179.31,15.99,4.1,0,0,0.32,0,0.25
"18","Comoros","Coffee, extracts",0.00312,832322,8000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,110.9,4200.48,998.13,24158.55,0,0,0,34.39,2.3,0.16,752.61,7177.94,0,25.57,112.8,0.13,0,5.44,0.23,4.13,75.17,0.34,185.76,109.67,377.38,0,0,1.87,2.51,0
"19","Comoros","Coffee, green",0.00312,832322,35000,"Import_kg",656,"Coffee",152,249.72,15236.02,20106.09,48789.98,1.35,0,0,138.88,4.66,0.72,2999.97,0,0.28,47.93,383.08,0.19,0.67,14.94,0,58.05,251.83,0.51,44.65,334.89,22.33,0,0,7.08,7.81,0
"20","Comoros","Coffee, roasted",0.00312,832322,50000,"Import_kg",657,"Coffee",152,356.75,21765.74,28722.98,69699.97,1.93,0,0,198.4,6.65,1.02,4285.67,0,0.4,68.48,547.26,0.28,0.96,21.35,0,82.93,359.76,0.73,63.79,478.42,31.89,0,0,10.11,11.16,0
"21","Comoros","Dates",0.0393863636363636,832322,157000,"Import_kg",577,"Dates",121,95.21,841.7,140.68,24405.73,3.24,0,0,19.88,0.79,0.15,289.03,2365.86,0.11,0.96,38.49,0,0,0.79,0,3.88,19.32,0.13,7.66,8.62,4.55,0,0,18.1,0.64,8.3
"22","Comoros","Flour, maize",0.0538461538461538,832322,209000,"Import_kg",58,"Corn Flour",223,165.8,3962.82,1529.77,34015.07,0.17,0,0,13.08,1.76,0.62,99.28,2088.03,0,3.33,91.82,0.13,0,0.83,0,0,26.85,0,137.69,498.28,827.17,0,0,4.86,0.54,0
"23","Comoros","Flour, mustard",0.0841,832322,26000,"Import_kg",295,"Rape and Mustardseed",56,19.48,855.79,1415.92,967.41,0.13,0,0,14.04,0.32,0.21,27.41,263.72,0,0.48,28.38,0,0,0.16,0,6.2,13.74,0,73.88,836.4,374.71,0,0,0.25,0.15,0
"24","Comoros","Flour, potatoes",0.133867924528302,832322,3000,"Import_kg",117,"Potatoes",18,0.22,5.54,0.37,48.24,0,0,0,0,0,0,1.01,3.63,0,0,0.13,0,0,0,0,0,0,0,0,0,0.11,0,0,0.21,0,0
"25","Comoros","Flour, wheat",0.0374838709677419,832322,15211000,"Import_kg",16,"Wheat Flour",222,16845.81,559316.74,73751.79,3468801.26,9.1,0,1.22,1949.65,132.72,62.57,8385.91,64031.98,4.78,1573.82,9020.55,17.07,6.46,111.62,5.95,507.06,2210.24,41,7557.07,4241.71,20135.94,0,0,564.75,46.6,0
"26","Comoros","Fruit, cooked, homogenized preparations",0.107099201828105,832322,11000,"Import_kg",626,"Homogenized; cooked fruit prepared",151,0.68,4.42,1.96,172.43,0.34,0,0,0,0,0,1.53,22.31,0,0,0.14,0,0,0,0,0,0,0,0.29,0.28,0.54,0,0,1.05,0,0
"27","Comoros","Fruit, dried nes",0.107099201828105,832322,14000,"Import_kg",620,"Fruit dried; nes",148,4.57,47.54,10.14,1126.55,0.58,0,0,0.86,0,0,13.73,133.85,0,0.23,1.56,0,0,0,0,0.25,0.75,0,3.05,2.49,3.89,0,0,0.33,0,0.23
"28","Comoros","Fruit, fresh nes",0.107099201828105,832322,12000,"Import_kg",619,"Fresh fruit; nes",147,1.21,20.56,10.25,259.45,0.53,0,0,0.72,0,0,3.75,46.75,0,0.15,0.56,0,0,0,0,0.94,0.43,0,1.65,1.14,1.57,0,0,1.02,0,0.37
