"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Grenada","Anise, badian, fennel, coriander",0.00195,111454,1000,"Import_kg",711,"Anise; badian; fennel; coriander",161,159.93,7276.01,6593.88,21502.49,4.81,0,0,374.2,14.77,2.13,682.59,10986.61,0.43,34.05,211.7,0.15,0.14,1.42,0.23,252.08,144.94,1.26,387.51,5009.31,1209.28,0,0,4.58,3.1,0
"2","Grenada","Apples",0.121111111111111,111454,629000,"Production_kg/Import_kg",515,"Apples",119,261.58,1446.49,1372.71,60974.01,67.66,0,0,36.11,3.27,0.3,479.3,6601.44,0.14,27.14,50.59,0.21,0.13,0.87,0.19,755.83,21.75,0.16,181.73,39.61,305.22,0,0,393.77,1.2,46.6
"3","Grenada","Apricots",0.03995,111454,28000,"Import_kg",526,"Apricots",125,31.07,628.85,160.81,7158.8,4.2,0,0,10.69,0.5,0.14,183.41,859.43,0,0.83,14.99,0,0,0.49,0,1.76,6.29,0,17.92,106.9,49.36,0,0,53.83,0.5,5.35
"4","Grenada","Artichokes",0.1,111454,14000,"Import_kg",366,"Artichokes",79,6.97,328.73,21.98,1457.42,1.04,0,0,10.46,0.17,0,43,309.84,0,13.33,12.31,0,0,0,0,4.32,7.54,0,5.4,0.94,7.79,0,0,10.83,0.16,7.54
"5","Grenada","Asparagus",0.0845294117647059,111454,1000,"Import_kg",367,"Asparagus",80,0.21,22.9,2.15,32.32,0.23,0,0,0.22,0,0,2.3,25.83,0,0,0.89,0,0,0,0,0.17,0.15,0,0.48,0,0.74,0,0,0.99,0,0.5
"6","Grenada","Avocados",0.048,111454,1557000,"Production_kg/Import_kg",572,"Avocados",141,4239.76,46812.06,410003.3,126311.08,372.31,0.98,1.69,598.5,27.96,14.04,14844.05,127572.25,6.14,191.98,4940.39,1.83,4.08,40.3,8.88,413.28,880.39,4.13,69602.06,231150.73,48428.95,0,0,2237.9,34.16,1105.95
"7","Grenada","Bananas",0.04075,111454,25419000,"Production_kg/Import_kg",486,"Bananas",117,56380.17,680423.75,130124.22,13065191.46,5958.53,20.56,10.45,5513.83,447.09,92.35,190177.25,875126.73,51.63,3552.18,14195.37,29.92,28.3,476.54,195.33,5484.81,15857.43,151.11,62123.82,14551.53,31621.59,0,0,40768.43,463.91,19868.43
"8","Grenada","Beans, dry",0.1145,111454,170000,"Production_kg/Import_kg",176,"Beans",30,438.96,28363.99,1828.92,77264.96,2.42,0,0.54,186.39,9.71,3.89,1557.64,16522.06,1.16,20.81,515.21,0.6,0.29,2.66,0.52,147.07,230.31,1.73,411.78,182.85,633.5,0,0,15.62,5.09,0
"9","Grenada","Cabbages and other brassicas",0.08324,111454,4563000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,1321.37,111704.66,14990.69,215553.45,3016.18,11.33,3.08,6035.8,85.12,16.78,14044.95,108543.72,7.62,1933.28,3467.61,2.98,5.06,38.11,8.86,1212.66,1200.91,12.47,1687.39,881.53,4320.61,0,0,4468.04,54.4,1357.47
"10","Grenada","Carrots and turnips",0.0830718954248366,111454,153000,"Production_kg/Import_kg",426,"Carrots and turnips",96,49.96,2163.86,386.94,9695.01,45.24,1.01,0,109.62,2.56,0.43,480.93,3355.76,0,78.01,196.86,0,0.15,1.28,0.3,172.85,20.11,0.24,53.43,24.24,125.04,0,0,147.48,2.07,38.01
