"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Brunei Darussalam","Almonds, with shell",0.0296505238073522,428963,1000,"Import_kg",221,"Almonds; with shell",45,4.68,166.76,402.2,141.97,0,0,0,1.91,0,0,6.19,57,0,0,3.8,0,0,0,0,0.41,2.53,0,31.06,265.55,91.71,0,0,0,0,0.51
"2","Brunei Darussalam","Anise, badian, fennel, coriander",0.00195,428963,389000,"Import_kg",711,"Anise; badian; fennel; coriander",161,16164.2,735391.46,666448.51,2173272.43,485.97,1.11,0.54,37820.86,1492.5,215.66,68989.45,1110424.57,43.63,3441.33,21396.31,15.25,14.05,143.17,23.25,25477.5,14648.92,126.85,39166.11,506294.7,122223.18,0,0,463.26,313.06,0
"3","Brunei Darussalam","Apples",0.121111111111111,428963,1755000,"Import_kg",515,"Apples",119,189.63,1048.62,995.13,44202.52,49.05,0,0,26.18,2.37,0.22,347.46,4785.65,0,19.68,36.68,0.15,0,0.63,0.14,547.93,15.76,0.12,131.75,28.71,221.27,0,0,285.46,0.87,33.78
"4","Brunei Darussalam","Apricots",0.03995,428963,5000,"Import_kg",526,"Apricots",125,1.44,29.18,7.46,332.15,0.19,0,0,0.5,0,0,8.51,39.87,0,0,0.7,0,0,0,0,0,0.29,0,0.83,4.96,2.29,0,0,2.5,0,0.25
"5","Brunei Darussalam","Asparagus",0.0845294117647059,428963,44000,"Import_kg",367,"Asparagus",80,2.46,261.76,24.62,369.5,2.63,0,0,2.55,0.13,0,26.3,295.27,0,0.56,10.17,0,0,0.11,0,1.94,1.7,0,5.46,0.61,8.49,0,0,11.26,0,5.7
"6","Brunei Darussalam","Avocados",0.048,428963,324000,"Import_kg",572,"Avocados",141,229.23,2530.99,22167.65,6829.26,20.13,0,0,32.36,1.51,0.76,802.57,6897.45,0.33,10.38,267.11,0,0.22,2.18,0.48,22.34,47.6,0.22,3763.17,12497.63,2618.41,0,0,121,1.85,59.8
"7","Brunei Darussalam","Bananas",0.04075,428963,4302000,"Production_kg/Import_kg",486,"Bananas",117,2479.21,29920.39,5721.97,574517.88,262.02,0.9,0.46,242.46,19.66,4.06,8362.7,38482.1,2.27,156.2,624.22,1.32,1.24,20.95,8.59,241.18,697.3,6.64,2731.78,639.88,1390.5,0,0,1792.72,20.4,873.68
"8","Brunei Darussalam","Beans, dry",0.1145,428963,276000,"Import_kg",176,"Beans",30,185.17,11964.74,771.49,32592.57,1.02,0,0.23,78.62,4.1,1.64,657.06,6969.48,0.49,8.78,217.33,0.25,0.12,1.12,0.22,62.04,97.15,0.73,173.7,77.13,267.23,0,0,6.59,2.15,0
"9","Brunei Darussalam","Beans, green",0.0843965476190476,428963,351000,"Import_kg",414,"Beans; green",92,46.26,4420.83,527.84,7254.67,22.22,0,0,61.04,2.11,0.45,282.2,2172.41,0,16.08,103.36,0.12,0.97,0.85,0.13,7.85,29.09,0,47.18,17.77,91.14,0,0,80.58,1.1,12.02
"10","Brunei Darussalam","Blueberries",0.134028846153846,428963,5000,"Import_kg",552,"Blueberries",136,0.5,6.44,2.87,126.01,0,0,0,0,0,0,0.67,20.87,0,0,0.1,0,0,0,0,0,0,0,0.24,0.41,1.27,0,0,0.73,0,0
"11","Brunei Darussalam","Broad beans, horse beans, dry",0.052,428963,49000,"Import_kg",181,"Broad beans; horse beans; dry",32,73.48,5271.62,348.91,12081.54,0.6,0,0,21.77,1.77,0.77,262.11,4254.3,0.18,4.01,83.8,0,0,0.58,0,21.04,42.07,0.36,55.36,66.23,132.57,0,0,2.29,0.66,5.93
"12","Brunei Darussalam","Cabbages and other brassicas",0.08324,428963,3683000,"Import_kg",358,"Cabbages and other brassicas",78,277.11,23426.01,3143.76,45204.54,632.54,2.38,0.65,1265.79,17.85,3.52,2945.42,22763.12,1.6,405.44,727.21,0.62,1.06,7.99,1.86,254.31,251.85,2.61,353.87,184.87,906.09,0,0,937.01,11.41,284.68
"13","Brunei Darussalam","Carrots and turnips",0.0830718954248366,428963,7000,"Import_kg",426,"Carrots and turnips",96,0.59,25.72,4.6,115.25,0.54,0,0,1.3,0,0,5.72,39.89,0,0.93,2.34,0,0,0,0,2.05,0.24,0,0.64,0.29,1.49,0,0,1.75,0,0.45
"14","Brunei Darussalam","Cassava",0.108277777777778,428963,3382000,"Production_kg",125,"Cassava",17,1012.75,13305.53,3456.23,226041.54,234.46,0,0.19,283.87,8.87,2.48,2737.8,10776.46,0.73,66.99,286.95,0.45,0.41,4.18,0.64,172.57,152.91,2.8,633.48,637.12,320.38,0,0,457.48,10.23,152.91
"15","Brunei Darussalam","Cauliflowers and broccoli",0.103835520801038,428963,1387000,"Import_kg",393,"Cauliflowers and broccoli",84,89.26,9645.81,1006.84,12670.63,251.82,1.69,0.19,136.51,3.38,1.31,922.62,5916.49,0.13,93.21,338.22,0.34,0.34,2.23,0.56,197.22,56.05,0.57,193.84,58.39,100.42,0,0,269.71,3.36,149.47
